X;Y;AVERAGE_GRADE
1.35000;0.45000;9.67883
1.25000;0.55000;9.61038
1.35000;0.55000;9.67133
1.45000;0.55000;9.80260
1.15000;0.65000;9.38449
1.25000;0.65000;9.56256
1.35000;0.65000;9.75781
1.45000;0.65000;9.95883
1.55000;0.65000;10.12382
1.15000;0.75000;8.95273
1.25000;0.75000;9.50169
1.35000;0.75000;10.08443
1.45000;0.75000;10.39417
1.55000;0.75000;10.35387
1.65000;0.75000;10.32808
1.15000;0.85000;8.44506
1.25000;0.85000;9.44643
1.35000;0.85000;10.46413
1.45000;0.85000;10.82148
1.55000;0.85000;10.55669
1.65000;0.85000;10.42893
1.75000;0.85000;10.40226
1.05000;0.95000;9.52460
1.15000;0.95000;9.10603
1.25000;0.95000;9.89995
1.35000;0.95000;10.68616
1.45000;0.95000;10.89814
1.55000;0.95000;10.63268
1.65000;0.95000;10.56450
1.75000;0.95000;10.68865
1.85000;0.95000;10.82235
1.05000;1.05000;10.66188
1.15000;1.05000;10.07771
1.25000;1.05000;10.44535
1.35000;1.05000;10.82858
1.45000;1.05000;10.85734
1.55000;1.05000;10.63771
1.65000;1.05000;10.64092
1.75000;1.05000;11.00669
1.85000;1.05000;11.37906
1.95000;1.05000;11.34093
1.05000;1.15000;12.24974
1.15000;1.15000;10.97321
1.25000;1.15000;10.96488
1.35000;1.15000;11.03614
1.45000;1.15000;10.90863
1.55000;1.15000;10.69559
1.65000;1.15000;10.72239
1.75000;1.15000;11.22972
1.85000;1.15000;11.71412
1.95000;1.15000;11.68041
0.95000;1.25000;14.72597
1.05000;1.25000;12.90158
1.15000;1.25000;11.39425
1.25000;1.25000;11.14403
1.35000;1.25000;11.22245
1.45000;1.25000;11.07358
1.55000;1.25000;10.86033
1.65000;1.25000;10.85859
1.75000;1.25000;11.18081
1.85000;1.25000;11.48510
1.95000;1.25000;11.49402
2.05000;1.25000;11.34057
0.95000;1.35000;16.02276
1.05000;1.35000;13.63074
1.15000;1.35000;11.61320
1.25000;1.35000;11.32544
1.35000;1.35000;11.42339
1.45000;1.35000;11.24793
1.55000;1.35000;11.00629
1.65000;1.35000;10.93901
1.75000;1.35000;11.13649
1.85000;1.35000;11.32192
1.95000;1.35000;11.26914
2.05000;1.35000;11.12703
0.95000;1.45000;15.97141
1.05000;1.45000;13.62356
1.15000;1.45000;11.80549
1.25000;1.45000;11.43642
1.35000;1.45000;11.50438
1.45000;1.45000;11.39807
1.55000;1.45000;11.22342
1.65000;1.45000;11.12244
1.75000;1.45000;11.18340
1.85000;1.45000;11.23831
1.95000;1.45000;11.04792
2.05000;1.45000;10.81950
2.15000;1.45000;10.64819
0.95000;1.55000;14.84505
1.05000;1.55000;13.08943
1.15000;1.55000;11.72134
1.25000;1.55000;11.50043
1.35000;1.55000;11.54991
1.45000;1.55000;11.50505
1.55000;1.55000;11.44068
1.65000;1.55000;11.35607
1.75000;1.55000;11.26316
1.85000;1.55000;11.18298
1.95000;1.55000;10.93166
2.05000;1.55000;10.64938
2.15000;1.55000;10.46386
2.25000;1.55000;10.45958
0.95000;1.65000;13.60264
1.05000;1.65000;12.37961
1.15000;1.65000;11.46275
1.25000;1.65000;11.51744
1.35000;1.65000;11.58757
1.45000;1.65000;11.60094
1.55000;1.65000;11.58810
1.65000;1.65000;11.50469
1.75000;1.65000;11.35338
1.85000;1.65000;11.19524
1.95000;1.65000;10.88983
2.05000;1.65000;10.54765
2.15000;1.65000;10.31709
2.25000;1.65000;10.33750
0.95000;1.75000;12.77790
1.05000;1.75000;11.82608
1.15000;1.75000;11.27652
1.25000;1.75000;11.43505
1.35000;1.75000;11.58786
1.45000;1.75000;11.59971
1.55000;1.75000;11.53236
1.65000;1.75000;11.41709
1.75000;1.75000;11.40589
1.85000;1.75000;11.39511
1.95000;1.75000;11.03561
2.05000;1.75000;10.64184
2.15000;1.75000;10.35352
2.25000;1.75000;10.36322
2.35000;1.75000;10.35857
1.05000;1.85000;11.50452
1.15000;1.85000;11.05817
1.25000;1.85000;11.35355
1.35000;1.85000;11.62160
1.45000;1.85000;11.59140
1.55000;1.85000;11.46285
1.65000;1.85000;11.27421
1.75000;1.85000;11.42576
1.85000;1.85000;11.59096
1.95000;1.85000;11.20332
2.05000;1.85000;10.70438
2.15000;1.85000;10.38866
2.25000;1.85000;10.38967
2.35000;1.85000;10.37403
1.05000;1.95000;11.25976
1.15000;1.95000;10.93728
1.25000;1.95000;11.19066
1.35000;1.95000;11.45110
1.45000;1.95000;11.37485
1.55000;1.95000;11.21370
1.65000;1.95000;11.17564
1.75000;1.95000;11.63684
1.85000;1.95000;12.13298
1.95000;1.95000;11.64832
2.05000;1.95000;10.92403
2.15000;1.95000;10.41062
2.25000;1.95000;10.33927
2.35000;1.95000;10.27068
2.45000;1.95000;10.31992
1.05000;2.05000;11.12171
1.15000;2.05000;10.83106
1.25000;2.05000;11.02609
1.35000;2.05000;11.21987
1.45000;2.05000;11.11422
1.55000;2.05000;10.91206
1.65000;2.05000;11.06883
1.75000;2.05000;12.01910
1.85000;2.05000;12.94655
1.95000;2.05000;12.21655
2.05000;2.05000;11.10451
2.15000;2.05000;10.43955
2.25000;2.05000;10.25522
2.35000;2.05000;10.09091
2.45000;2.05000;10.19926
2.55000;2.05000;10.37305
1.05000;2.15000;11.34847
1.15000;2.15000;10.80437
1.25000;2.15000;10.95739
1.35000;2.15000;11.09800
1.45000;2.15000;10.98389
1.55000;2.15000;10.77167
1.65000;2.15000;10.70553
1.75000;2.15000;12.22588
1.85000;2.15000;13.37973
1.95000;2.15000;12.46589
2.05000;2.15000;11.15259
2.15000;2.15000;10.45939
2.25000;2.15000;10.22038
2.35000;2.15000;9.99337
2.45000;2.15000;10.13649
2.55000;2.15000;10.35766
1.05000;2.25000;11.36241
1.15000;2.25000;11.06436
1.25000;2.25000;11.13809
1.35000;2.25000;11.21605
1.45000;2.25000;11.19020
1.55000;2.25000;11.13082
1.65000;2.25000;11.35705
1.75000;2.25000;11.91770
1.85000;2.25000;12.44577
1.95000;2.25000;11.86041
2.05000;2.25000;11.06088
2.15000;2.25000;10.45545
2.25000;2.25000;10.29294
2.35000;2.25000;10.14831
2.45000;2.25000;10.22155
2.55000;2.25000;10.35298
1.05000;2.35000;11.54779
1.15000;2.35000;11.31441
1.25000;2.35000;11.32240
1.35000;2.35000;11.35258
1.45000;2.35000;11.40137
1.55000;2.35000;11.49270
1.65000;2.35000;11.59860
1.75000;2.35000;11.60664
1.85000;2.35000;11.59748
1.95000;2.35000;11.26972
2.05000;2.35000;10.84731
2.15000;2.35000;10.47028
2.25000;2.35000;10.36528
2.35000;2.35000;10.27634
2.45000;2.35000;10.30200
2.55000;2.35000;10.36027
1.15000;2.45000;11.76712
1.25000;2.45000;11.71038
1.35000;2.45000;11.62829
1.45000;2.45000;11.50962
1.55000;2.45000;11.45226
1.65000;2.45000;11.39548
1.75000;2.45000;11.36513
1.85000;2.45000;11.35002
1.95000;2.45000;11.08973
2.05000;2.45000;10.78807
2.15000;2.45000;10.54399
2.25000;2.45000;10.47819
2.35000;2.45000;10.47910
2.45000;2.45000;10.39270
2.55000;2.45000;10.42625
1.15000;2.55000;12.31818
1.25000;2.55000;12.13886
1.35000;2.55000;11.94005
1.45000;2.55000;11.56163
1.55000;2.55000;11.18495
1.65000;2.55000;11.02360
1.75000;2.55000;11.22128
1.85000;2.55000;11.39409
1.95000;2.55000;11.16398
2.05000;2.55000;10.86980
2.15000;2.55000;10.67265
2.25000;2.55000;10.67161
2.35000;2.55000;10.73191
2.45000;2.55000;10.46313
1.15000;2.65000;12.78775
1.25000;2.65000;12.61671
1.35000;2.65000;12.40051
1.45000;2.65000;11.84960
1.55000;2.65000;11.17731
1.65000;2.65000;10.81936
1.75000;2.65000;11.16024
1.85000;2.65000;11.44099
1.95000;2.65000;11.25953
2.05000;2.65000;10.97362
2.15000;2.65000;10.85821
2.25000;2.65000;10.88965
2.35000;2.65000;10.95821
2.45000;2.65000;10.74233
1.15000;2.75000;12.84661
1.25000;2.75000;13.03086
1.35000;2.75000;13.27358
1.45000;2.75000;12.57031
1.55000;2.75000;11.72799
1.65000;2.75000;11.18908
1.75000;2.75000;11.32823
1.85000;2.75000;11.45601
1.95000;2.75000;11.33803
2.05000;2.75000;11.18312
2.15000;2.75000;11.09360
2.25000;2.75000;11.13677
2.35000;2.75000;11.21889
2.45000;2.75000;10.96864
1.15000;2.85000;12.74350
1.25000;2.85000;13.45977
1.35000;2.85000;14.21863
1.45000;2.85000;13.35038
1.55000;2.85000;12.22792
1.65000;2.85000;11.55312
1.75000;2.85000;11.50522
1.85000;2.85000;11.49524
