X__dx=___1.00000;Y__dy=___1.00000;AVERAGE_GRADE
35.50;1.50;0.76
12.50;2.50;0.24
13.50;2.50;0.25
14.50;2.50;0.26
15.50;2.50;0.29
16.50;2.50;0.30
17.50;2.50;0.32
18.50;2.50;0.33
19.50;2.50;0.37
20.50;2.50;0.42
21.50;2.50;0.47
22.50;2.50;0.54
23.50;2.50;0.63
24.50;2.50;0.72
25.50;2.50;0.83
26.50;2.50;0.93
27.50;2.50;1.01
28.50;2.50;1.10
29.50;2.50;1.16
30.50;2.50;1.22
31.50;2.50;1.26
32.50;2.50;1.27
33.50;2.50;1.18
34.50;2.50;1.00
35.50;2.50;0.85
36.50;2.50;0.79
37.50;2.50;0.75
38.50;2.50;0.75
39.50;2.50;0.75
40.50;2.50;0.76
41.50;2.50;0.76
42.50;2.50;0.82
0.50;3.50;3.01
1.50;3.50;3.13
2.50;3.50;3.04
3.50;3.50;2.86
4.50;3.50;2.61
5.50;3.50;2.29
6.50;3.50;1.91
7.50;3.50;1.45
8.50;3.50;0.73
9.50;3.50;0.39
10.50;3.50;0.35
11.50;3.50;0.34
12.50;3.50;0.32
13.50;3.50;0.28
14.50;3.50;0.26
15.50;3.50;0.29
16.50;3.50;0.30
17.50;3.50;0.31
18.50;3.50;0.32
19.50;3.50;0.34
20.50;3.50;0.41
21.50;3.50;0.49
22.50;3.50;0.59
23.50;3.50;0.67
24.50;3.50;0.75
25.50;3.50;0.88
26.50;3.50;0.97
27.50;3.50;1.02
28.50;3.50;1.08
29.50;3.50;1.16
30.50;3.50;1.23
31.50;3.50;1.32
32.50;3.50;1.41
33.50;3.50;1.21
34.50;3.50;1.03
35.50;3.50;0.91
36.50;3.50;0.94
37.50;3.50;0.94
38.50;3.50;0.93
39.50;3.50;0.93
40.50;3.50;0.92
41.50;3.50;0.94
42.50;3.50;1.00
43.50;3.50;1.18
0.50;4.50;4.23
1.50;4.50;4.20
2.50;4.50;4.00
3.50;4.50;3.60
4.50;4.50;3.27
5.50;4.50;2.87
6.50;4.50;2.46
7.50;4.50;2.00
8.50;4.50;1.13
9.50;4.50;0.58
10.50;4.50;0.52
11.50;4.50;0.48
12.50;4.50;0.47
13.50;4.50;0.44
14.50;4.50;0.40
15.50;4.50;0.35
16.50;4.50;0.31
17.50;4.50;0.31
18.50;4.50;0.33
19.50;4.50;0.32
20.50;4.50;0.39
21.50;4.50;0.50
22.50;4.50;0.63
23.50;4.50;0.71
24.50;4.50;0.81
25.50;4.50;0.92
26.50;4.50;1.00
27.50;4.50;1.05
28.50;4.50;1.15
29.50;4.50;1.22
30.50;4.50;1.27
31.50;4.50;1.32
32.50;4.50;1.31
33.50;4.50;1.21
34.50;4.50;1.07
35.50;4.50;0.98
36.50;4.50;0.90
37.50;4.50;0.95
38.50;4.50;0.95
39.50;4.50;0.97
40.50;4.50;1.00
41.50;4.50;1.06
42.50;4.50;1.15
43.50;4.50;1.30
44.50;4.50;1.54
45.50;4.50;1.76
0.50;5.50;5.47
1.50;5.50;5.15
2.50;5.50;4.75
3.50;5.50;4.20
4.50;5.50;3.76
5.50;5.50;3.30
6.50;5.50;2.82
7.50;5.50;2.26
8.50;5.50;1.31
9.50;5.50;0.81
10.50;5.50;0.68
11.50;5.50;0.60
12.50;5.50;0.55
13.50;5.50;0.51
14.50;5.50;0.46
15.50;5.50;0.35
16.50;5.50;0.40
17.50;5.50;0.38
18.50;5.50;0.30
19.50;5.50;0.27
20.50;5.50;0.41
21.50;5.50;0.54
22.50;5.50;0.67
23.50;5.50;0.76
24.50;5.50;0.85
25.50;5.50;0.96
26.50;5.50;1.02
27.50;5.50;1.07
28.50;5.50;1.16
29.50;5.50;1.22
30.50;5.50;1.24
31.50;5.50;1.26
32.50;5.50;1.23
33.50;5.50;1.16
34.50;5.50;1.06
35.50;5.50;0.98
36.50;5.50;0.90
37.50;5.50;0.98
38.50;5.50;0.99
39.50;5.50;1.02
40.50;5.50;1.07
41.50;5.50;1.14
42.50;5.50;1.24
43.50;5.50;1.39
44.50;5.50;1.65
45.50;5.50;1.91
46.50;5.50;2.20
47.50;5.50;2.52
0.50;6.50;7.29
1.50;6.50;6.09
2.50;6.50;5.50
3.50;6.50;4.81
4.50;6.50;4.25
5.50;6.50;3.69
6.50;6.50;3.11
7.50;6.50;2.51
8.50;6.50;1.28
9.50;6.50;1.07
10.50;6.50;0.88
11.50;6.50;0.73
12.50;6.50;0.63
13.50;6.50;0.53
14.50;6.50;0.50
15.50;6.50;0.50
16.50;6.50;0.52
17.50;6.50;0.53
18.50;6.50;0.46
19.50;6.50;0.45
20.50;6.50;0.61
21.50;6.50;0.72
22.50;6.50;0.84
23.50;6.50;0.91
24.50;6.50;0.97
25.50;6.50;1.04
26.50;6.50;1.10
27.50;6.50;1.13
28.50;6.50;1.20
29.50;6.50;1.22
30.50;6.50;1.24
31.50;6.50;1.24
32.50;6.50;1.19
33.50;6.50;1.11
34.50;6.50;1.04
35.50;6.50;0.96
36.50;6.50;0.95
37.50;6.50;1.06
38.50;6.50;1.06
39.50;6.50;1.10
40.50;6.50;1.16
41.50;6.50;1.25
42.50;6.50;1.39
43.50;6.50;1.60
44.50;6.50;2.05
45.50;6.50;2.34
46.50;6.50;2.64
47.50;6.50;3.01
0.50;7.50;8.74
1.50;7.50;7.02
2.50;7.50;6.24
3.50;7.50;5.42
4.50;7.50;4.71
5.50;7.50;4.04
6.50;7.50;3.36
7.50;7.50;2.72
8.50;7.50;1.40
9.50;7.50;1.18
10.50;7.50;0.97
11.50;7.50;0.81
12.50;7.50;0.69
13.50;7.50;0.57
14.50;7.50;0.54
15.50;7.50;0.58
16.50;7.50;0.62
17.50;7.50;0.67
18.50;7.50;0.62
19.50;7.50;0.65
20.50;7.50;0.76
21.50;7.50;0.83
22.50;7.50;0.94
23.50;7.50;0.98
24.50;7.50;1.02
25.50;7.50;1.07
26.50;7.50;1.12
27.50;7.50;1.16
28.50;7.50;1.23
29.50;7.50;1.25
30.50;7.50;1.24
31.50;7.50;1.20
32.50;7.50;1.14
33.50;7.50;1.07
34.50;7.50;1.00
35.50;7.50;0.93
36.50;7.50;0.93
37.50;7.50;1.00
38.50;7.50;1.07
39.50;7.50;1.12
40.50;7.50;1.19
41.50;7.50;1.29
42.50;7.50;1.44
43.50;7.50;1.71
44.50;7.50;2.24
45.50;7.50;2.63
46.50;7.50;3.09
47.50;7.50;3.50
0.50;8.50;10.30
1.50;8.50;7.99
2.50;8.50;6.99
3.50;8.50;6.00
4.50;8.50;5.14
5.50;8.50;4.34
6.50;8.50;3.55
7.50;8.50;2.82
8.50;8.50;1.50
9.50;8.50;1.25
10.50;8.50;1.07
11.50;8.50;0.88
12.50;8.50;0.74
13.50;8.50;0.60
14.50;8.50;0.57
15.50;8.50;0.65
16.50;8.50;0.73
17.50;8.50;0.81
18.50;8.50;0.79
19.50;8.50;0.84
20.50;8.50;0.91
21.50;8.50;0.94
22.50;8.50;1.03
23.50;8.50;1.04
24.50;8.50;1.06
25.50;8.50;1.10
26.50;8.50;1.15
27.50;8.50;1.18
28.50;8.50;1.28
29.50;8.50;1.27
30.50;8.50;1.22
31.50;8.50;1.16
32.50;8.50;1.10
33.50;8.50;1.02
34.50;8.50;0.96
35.50;8.50;0.86
36.50;8.50;0.86
37.50;8.50;0.96
38.50;8.50;1.01
39.50;8.50;1.12
40.50;8.50;1.21
41.50;8.50;1.32
42.50;8.50;1.46
43.50;8.50;1.79
44.50;8.50;2.42
45.50;8.50;2.98
46.50;8.50;3.54
47.50;8.50;4.05
0.50;9.50;11.90
1.50;9.50;9.01
2.50;9.50;7.71
3.50;9.50;6.53
4.50;9.50;5.50
5.50;9.50;4.56
6.50;9.50;3.66
7.50;9.50;2.81
8.50;9.50;1.60
9.50;9.50;1.41
10.50;9.50;1.22
11.50;9.50;1.00
12.50;9.50;0.83
13.50;9.50;0.64
14.50;9.50;0.55
15.50;9.50;0.70
16.50;9.50;0.85
17.50;9.50;0.96
18.50;9.50;1.00
19.50;9.50;1.03
20.50;9.50;1.07
21.50;9.50;1.07
22.50;9.50;1.13
23.50;9.50;1.12
24.50;9.50;1.11
25.50;9.50;1.12
26.50;9.50;1.15
27.50;9.50;1.22
28.50;9.50;1.33
29.50;9.50;1.22
30.50;9.50;1.18
31.50;9.50;1.11
32.50;9.50;1.05
33.50;9.50;0.97
34.50;9.50;0.86
35.50;9.50;0.81
36.50;9.50;0.79
37.50;9.50;0.90
38.50;9.50;0.96
39.50;9.50;1.05
40.50;9.50;1.21
41.50;9.50;1.34
42.50;9.50;1.50
43.50;9.50;1.84
44.50;9.50;2.60
45.50;9.50;3.32
46.50;9.50;4.04
47.50;9.50;4.72
0.50;10.50;13.45
1.50;10.50;9.80
2.50;10.50;8.12
3.50;10.50;6.87
