X;Y;AVERAGE_GRADE
594.00000;66.00000;1.06169
638.00000;66.00000;1.45936
682.00000;66.00000;1.88727
726.00000;66.00000;2.27446
770.00000;66.00000;2.57228
814.00000;66.00000;2.75657
858.00000;66.00000;2.84210
902.00000;66.00000;2.90490
946.00000;66.00000;2.99357
990.00000;66.00000;3.05648
1034.00000;66.00000;2.64891
1078.00000;66.00000;2.48135
1122.00000;66.00000;3.04083
1166.00000;66.00000;3.00638
1210.00000;66.00000;2.96237
1254.00000;66.00000;2.92335
1298.00000;66.00000;2.84787
330.00000;110.00000;5.13501
374.00000;110.00000;5.39857
418.00000;110.00000;5.44480
462.00000;110.00000;3.68235
506.00000;110.00000;2.75954
550.00000;110.00000;1.81519
594.00000;110.00000;0.97908
638.00000;110.00000;1.32954
682.00000;110.00000;1.85557
726.00000;110.00000;2.34341
770.00000;110.00000;2.74156
814.00000;110.00000;3.00154
858.00000;110.00000;3.12064
902.00000;110.00000;3.11705
946.00000;110.00000;3.09445
990.00000;110.00000;3.11758
1034.00000;110.00000;2.82805
1078.00000;110.00000;2.65375
1122.00000;110.00000;2.48367
1166.00000;110.00000;2.35067
1210.00000;110.00000;2.30332
1254.00000;110.00000;2.38081
1298.00000;110.00000;2.53878
1342.00000;110.00000;2.52023
1386.00000;110.00000;2.32949
1430.00000;110.00000;2.09583
1474.00000;110.00000;1.86785
66.00000;154.00000;5.45498
110.00000;154.00000;4.12570
154.00000;154.00000;3.12847
198.00000;154.00000;3.15524
242.00000;154.00000;3.53739
286.00000;154.00000;4.69714
330.00000;154.00000;5.17667
374.00000;154.00000;5.46971
418.00000;154.00000;5.23286
462.00000;154.00000;4.44351
506.00000;154.00000;3.34817
550.00000;154.00000;2.34319
594.00000;154.00000;1.51271
638.00000;154.00000;1.44611
682.00000;154.00000;1.90855
726.00000;154.00000;2.42805
770.00000;154.00000;2.87401
814.00000;154.00000;3.20166
858.00000;154.00000;3.49915
902.00000;154.00000;3.39333
946.00000;154.00000;3.31337
990.00000;154.00000;3.24902
1034.00000;154.00000;2.97007
1078.00000;154.00000;2.74413
1122.00000;154.00000;2.50404
1166.00000;154.00000;2.27699
1210.00000;154.00000;2.11170
1254.00000;154.00000;2.09673
1298.00000;154.00000;2.18446
1342.00000;154.00000;2.27228
1386.00000;154.00000;2.18895
1430.00000;154.00000;2.01214
1474.00000;154.00000;1.73657
1518.00000;154.00000;1.56054
1562.00000;154.00000;1.45140
1606.00000;154.00000;1.27324
1650.00000;154.00000;1.22353
1694.00000;154.00000;1.22368
66.00000;198.00000;4.13339
110.00000;198.00000;3.34798
154.00000;198.00000;2.40386
198.00000;198.00000;3.24146
242.00000;198.00000;3.70229
286.00000;198.00000;4.47055
330.00000;198.00000;5.00624
374.00000;198.00000;5.53586
418.00000;198.00000;5.84878
462.00000;198.00000;5.00201
506.00000;198.00000;3.89488
550.00000;198.00000;2.96376
594.00000;198.00000;2.13931
638.00000;198.00000;1.86319
682.00000;198.00000;2.09911
726.00000;198.00000;2.55401
770.00000;198.00000;3.07118
814.00000;198.00000;3.50680
858.00000;198.00000;3.85468
902.00000;198.00000;3.68223
946.00000;198.00000;3.54535
990.00000;198.00000;3.43377
1034.00000;198.00000;3.11815
1078.00000;198.00000;2.85357
1122.00000;198.00000;2.59102
1166.00000;198.00000;2.32069
1210.00000;198.00000;2.05708
1254.00000;198.00000;1.87163
1298.00000;198.00000;1.84963
1342.00000;198.00000;1.91703
1386.00000;198.00000;1.98134
1430.00000;198.00000;1.89938
1474.00000;198.00000;1.60770
1518.00000;198.00000;1.47725
1562.00000;198.00000;1.31841
1606.00000;198.00000;1.49450
1650.00000;198.00000;1.66641
1694.00000;198.00000;1.86155
1738.00000;198.00000;2.29305
66.00000;242.00000;3.14796
110.00000;242.00000;2.58827
154.00000;242.00000;1.49514
198.00000;242.00000;2.02097
242.00000;242.00000;2.70060
286.00000;242.00000;3.26679
330.00000;242.00000;3.67506
374.00000;242.00000;4.12410
418.00000;242.00000;4.83951
462.00000;242.00000;4.83431
506.00000;242.00000;4.21279
550.00000;242.00000;3.38430
594.00000;242.00000;2.78087
638.00000;242.00000;2.15487
682.00000;242.00000;2.34663
726.00000;242.00000;2.66673
770.00000;242.00000;3.07175
814.00000;242.00000;3.55375
858.00000;242.00000;4.13197
902.00000;242.00000;3.37539
946.00000;242.00000;2.71502
990.00000;242.00000;2.52158
1034.00000;242.00000;2.89288
1078.00000;242.00000;3.05519
1122.00000;242.00000;3.05522
1166.00000;242.00000;2.88631
1210.00000;242.00000;2.61102
1254.00000;242.00000;2.29531
1298.00000;242.00000;2.25223
1342.00000;242.00000;1.39981
1386.00000;242.00000;1.29549
1430.00000;242.00000;1.25000
1474.00000;242.00000;1.02800
1518.00000;242.00000;1.01373
1562.00000;242.00000;1.06999
1606.00000;242.00000;1.36554
1650.00000;242.00000;1.67921
1694.00000;242.00000;2.10317
1738.00000;242.00000;2.65778
1782.00000;242.00000;3.38091
66.00000;286.00000;1.69763
110.00000;286.00000;2.35898
154.00000;286.00000;1.64216
198.00000;286.00000;1.53827
242.00000;286.00000;2.04152
286.00000;286.00000;2.84754
330.00000;286.00000;2.74837
374.00000;286.00000;3.12656
418.00000;286.00000;3.55144
462.00000;286.00000;3.97038
506.00000;286.00000;3.89264
550.00000;286.00000;3.46799
594.00000;286.00000;2.96136
638.00000;286.00000;2.31894
682.00000;286.00000;2.33783
726.00000;286.00000;2.57976
770.00000;286.00000;2.93654
814.00000;286.00000;3.37076
858.00000;286.00000;3.71593
902.00000;286.00000;3.14842
946.00000;286.00000;2.39861
990.00000;286.00000;1.71446
1034.00000;286.00000;2.29395
1078.00000;286.00000;2.81736
1122.00000;286.00000;3.10411
1166.00000;286.00000;3.17349
1210.00000;286.00000;2.98558
1254.00000;286.00000;2.82525
1298.00000;286.00000;2.66456
1342.00000;286.00000;1.59259
1386.00000;286.00000;1.19049
1430.00000;286.00000;1.16350
1474.00000;286.00000;0.88531
1518.00000;286.00000;0.81181
1562.00000;286.00000;0.82918
1606.00000;286.00000;1.21970
1650.00000;286.00000;1.65993
1694.00000;286.00000;2.18674
1738.00000;286.00000;2.78510
1782.00000;286.00000;3.60326
1826.00000;286.00000;4.36225
66.00000;330.00000;1.97641
110.00000;330.00000;2.43291
154.00000;330.00000;2.01206
198.00000;330.00000;1.98098
242.00000;330.00000;2.43995
286.00000;330.00000;2.68047
330.00000;330.00000;2.36952
374.00000;330.00000;2.11355
418.00000;330.00000;2.43325
462.00000;330.00000;2.95101
506.00000;330.00000;3.22272
550.00000;330.00000;3.18160
594.00000;330.00000;2.95218
638.00000;330.00000;2.64173
682.00000;330.00000;2.82102
726.00000;330.00000;2.59895
770.00000;330.00000;2.81521
814.00000;330.00000;3.09185
858.00000;330.00000;3.50769
902.00000;330.00000;3.18423
946.00000;330.00000;2.71859
990.00000;330.00000;2.13902
1034.00000;330.00000;1.91318
1078.00000;330.00000;2.53660
1122.00000;330.00000;2.87981
1166.00000;330.00000;3.13823
1210.00000;330.00000;3.16652
1254.00000;330.00000;3.33150
1298.00000;330.00000;3.15519
1342.00000;330.00000;1.98616
1386.00000;330.00000;1.30258
1430.00000;330.00000;1.02615
1474.00000;330.00000;0.79005
1518.00000;330.00000;0.68716
1562.00000;330.00000;0.62416
1606.00000;330.00000;0.95016
1650.00000;330.00000;1.74643
1694.00000;330.00000;2.40229
1738.00000;330.00000;2.86475
