X;Y;AVERAGE_GRADE
12.50000;2.50000;0.23969
13.50000;2.50000;0.23214
14.50000;2.50000;0.23319
15.50000;2.50000;0.23425
16.50000;2.50000;0.23565
17.50000;2.50000;0.23813
18.50000;2.50000;0.24285
19.50000;2.50000;0.25116
20.50000;2.50000;0.42768
21.50000;2.50000;0.48588
22.50000;2.50000;0.55436
23.50000;2.50000;0.62812
24.50000;2.50000;0.69694
25.50000;2.50000;0.80548
26.50000;2.50000;0.89691
27.50000;2.50000;0.98801
28.50000;2.50000;1.07653
29.50000;2.50000;1.16077
30.50000;2.50000;1.23735
31.50000;2.50000;1.29600
32.50000;2.50000;1.29490
33.50000;2.50000;1.18310
34.50000;2.50000;1.01276
35.50000;2.50000;0.86901
36.50000;2.50000;0.80471
37.50000;2.50000;0.78258
38.50000;2.50000;0.77299
39.50000;2.50000;0.76921
40.50000;2.50000;0.76950
41.50000;2.50000;0.77339
42.50000;2.50000;0.78296
1.50000;3.50000;2.71097
2.50000;3.50000;2.39136
3.50000;3.50000;2.09284
4.50000;3.50000;1.80618
5.50000;3.50000;1.52373
6.50000;3.50000;1.23915
7.50000;3.50000;0.94690
8.50000;3.50000;0.64117
9.50000;3.50000;0.35834
10.50000;3.50000;0.30441
11.50000;3.50000;0.28063
12.50000;3.50000;0.24571
13.50000;3.50000;0.23408
14.50000;3.50000;0.22649
15.50000;3.50000;0.23309
16.50000;3.50000;0.25035
17.50000;3.50000;0.25580
18.50000;3.50000;0.28001
19.50000;3.50000;0.31921
20.50000;3.50000;0.37156
21.50000;3.50000;0.44204
22.50000;3.50000;0.53683
23.50000;3.50000;0.62536
24.50000;3.50000;0.72078
25.50000;3.50000;0.79637
26.50000;3.50000;0.89798
27.50000;3.50000;1.03385
28.50000;3.50000;1.11585
29.50000;3.50000;1.23294
30.50000;3.50000;1.31549
31.50000;3.50000;1.39975
32.50000;3.50000;1.43664
33.50000;3.50000;1.24324
34.50000;3.50000;1.06198
35.50000;3.50000;0.92534
36.50000;3.50000;0.83351
37.50000;3.50000;0.91228
38.50000;3.50000;0.89542
39.50000;3.50000;0.88698
40.50000;3.50000;0.84761
41.50000;3.50000;0.88550
42.50000;3.50000;0.93944
43.50000;3.50000;1.15254
1.50000;4.50000;3.82091
2.50000;4.50000;3.44966
3.50000;4.50000;3.01101
4.50000;4.50000;2.51184
5.50000;4.50000;1.98511
6.50000;4.50000;1.46993
7.50000;4.50000;1.07782
8.50000;4.50000;0.77642
9.50000;4.50000;0.52123
10.50000;4.50000;0.42009
11.50000;4.50000;0.37083
12.50000;4.50000;0.33344
13.50000;4.50000;0.48804
14.50000;4.50000;0.43024
15.50000;4.50000;0.25932
16.50000;4.50000;0.24764
17.50000;4.50000;0.23841
18.50000;4.50000;0.24062
19.50000;4.50000;0.27227
20.50000;4.50000;0.32674
21.50000;4.50000;0.44109
22.50000;4.50000;0.54269
23.50000;4.50000;0.62652
24.50000;4.50000;0.69761
25.50000;4.50000;0.86723
26.50000;4.50000;0.98633
27.50000;4.50000;1.08254
28.50000;4.50000;1.17621
29.50000;4.50000;1.25816
30.50000;4.50000;1.33666
31.50000;4.50000;1.40045
32.50000;4.50000;1.41031
33.50000;4.50000;1.26441
34.50000;4.50000;1.10108
35.50000;4.50000;0.95642
36.50000;4.50000;0.71681
