X;Y;AVERAGE_GRADE
1.35000;0.45000;4.64254
1.25000;0.55000;4.22667
1.35000;0.55000;4.25867
1.45000;0.55000;6.49794
1.15000;0.65000;4.30140
1.25000;0.65000;4.40680
1.35000;0.65000;4.38727
1.45000;0.65000;6.82230
1.55000;0.65000;11.41483
1.15000;0.75000;5.10951
1.25000;0.75000;5.27078
1.35000;0.75000;5.44800
1.45000;0.75000;7.72888
1.55000;0.75000;11.17525
1.65000;0.75000;13.72800
1.15000;0.85000;5.88257
1.25000;0.85000;6.11339
1.35000;0.85000;6.49382
1.45000;0.85000;8.21247
1.55000;0.85000;10.98204
1.65000;0.85000;12.70786
1.75000;0.85000;12.96859
1.05000;0.95000;6.36185
1.15000;0.95000;6.72837
1.25000;0.95000;7.11847
1.35000;0.95000;7.44854
1.45000;0.95000;8.82573
1.55000;0.95000;10.82385
1.65000;0.95000;12.05207
1.75000;0.95000;12.62008
1.85000;0.95000;13.16668
1.05000;1.05000;6.81793
1.15000;1.05000;7.49781
1.25000;1.05000;7.88635
1.35000;1.05000;8.27996
1.45000;1.05000;9.37482
1.55000;1.05000;10.59200
1.65000;1.05000;11.69638
1.75000;1.05000;12.61638
1.85000;1.05000;13.48614
1.95000;1.05000;13.92340
1.05000;1.15000;7.03379
1.15000;1.15000;8.02097
1.25000;1.15000;8.53201
1.35000;1.15000;8.97979
1.45000;1.15000;9.90994
1.55000;1.15000;10.86117
1.65000;1.15000;12.13540
1.75000;1.15000;13.93813
1.85000;1.15000;15.32145
1.95000;1.15000;16.66517
0.95000;1.25000;5.32957
1.05000;1.25000;6.67055
1.15000;1.25000;7.86387
1.25000;1.25000;8.67537
1.35000;1.25000;9.27507
1.45000;1.25000;10.64926
1.55000;1.25000;12.03756
1.65000;1.25000;14.34119
1.75000;1.25000;17.36893
1.85000;1.25000;20.25317
1.95000;1.25000;20.80955
2.05000;1.25000;19.97579
0.95000;1.35000;4.50814
1.05000;1.35000;6.24280
1.15000;1.35000;7.76407
1.25000;1.35000;8.81681
1.35000;1.35000;9.66795
1.45000;1.35000;11.32914
1.55000;1.35000;13.28056
1.65000;1.35000;16.24302
1.75000;1.35000;20.95888
1.85000;1.35000;25.75438
1.95000;1.35000;24.75993
2.05000;1.35000;22.19484
0.95000;1.45000;4.61133
1.05000;1.45000;6.34386
1.15000;1.45000;7.97319
1.25000;1.45000;9.22990
1.35000;1.45000;10.23975
1.45000;1.45000;12.12666
1.55000;1.45000;14.01694
1.65000;1.45000;17.03659
1.75000;1.45000;21.30570
1.85000;1.45000;25.51048
1.95000;1.45000;25.28185
2.05000;1.45000;23.67986
2.15000;1.45000;22.04187
0.95000;1.55000;5.42786
1.05000;1.55000;6.77567
1.15000;1.55000;8.26413
1.25000;1.55000;9.69836
1.35000;1.55000;10.98636
